"GEO_ID","NAME","NAICS2022","NAICS2022_LABEL","TYPOP","TYPOP_LABEL","TAXSTAT","TAXSTAT_LABEL","YEAR","FIRM","ESTAB","RCPTOT","PAYANN","PAYQTR1","EMP","RCPTOT_IMP","PAYANN_IMP","EMP_IMP",
"Geographic identifier code","Geographic Area Name","2022 NAICS code","Meaning of NAICS Code","Type of operation code","Meaning of Type of operation code","Tax status code","Meaning of Tax status code","Year","Number of firms","Number of establishments","Sales, value of shipments, or revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)","Number of employees","Range indicating percent of total sales, value of shipments, or revenue imputed","Range indicating percent of total annual payroll imputed","Range indicating percent of total employees imputed",
"0100000US","United States","61(117)","Educational services(117)","00","All establishments","T","Establishments subject to federal income tax","2022","68926","74249","71564489","23185081","5341595","670362","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","61(117)","Educational services(117)","00","All establishments","Y","Establishments exempt from federal income tax","2022","13959","15124","23696863","7865582","1847293","197481","10% to less than 20%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","611(117)","Educational services(117)","00","All establishments","00","All establishments","2022","82829","89373","95261352","31050663","7188888","867843","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","611(117)","Educational services(117)","00","All establishments","T","Establishments subject to federal income tax","2022","68926","74249","71564489","23185081","5341595","670362","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","611(117)","Educational services(117)","00","All establishments","Y","Establishments exempt from federal income tax","2022","13959","15124","23696863","7865582","1847293","197481","10% to less than 20%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","62","Health care and social assistance","00","All establishments","00","All establishments","2022","695080","975398","3376943762","1284787432","299770107","22135554","30% to less than 40%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","62","Health care and social assistance","00","All establishments","T","Establishments subject to federal income tax","2022","629335","821713","1731910727","679095922","155712365","12502528","30% to less than 40%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","62","Health care and social assistance","00","All establishments","Y","Establishments exempt from federal income tax","2022","68374","153685","1645033035","605691510","144057742","9633026","30% to less than 40%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","621","Ambulatory health care services","00","All establishments","00","All establishments","2022","504541","676330","1458546353","570552420","130998193","8734418","30% to less than 40%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","621","Ambulatory health care services","00","All establishments","T","Establishments subject to federal income tax","2022","496827","647226","1297900757","502956490","114802533","7634133","30% to less than 40%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","621","Ambulatory health care services","00","All establishments","Y","Establishments exempt from federal income tax","2022","8800","29104","160645596","67595930","16195660","1100285","40% to less than 50%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","622","Hospitals","00","All establishments","00","All establishments","2022","2723","6622","1342902808","472393237","113159755","6347157","40% to less than 50%","30% to less than 40%","30% to less than 40%",
"0100000US","United States","622","Hospitals","00","All establishments","T","Establishments subject to federal income tax","2022","419","1843","140661485","45068331","10833424","712642","70% to less than 80%","60% to less than 70%","60% to less than 70%",
"0100000US","United States","622","Hospitals","00","All establishments","Y","Establishments exempt from federal income tax","2022","2357","4779","1202241323","427324906","102326331","5634515","40% to less than 50%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","623","Nursing and residential care facilities","00","All establishments","00","All establishments","2022","42852","93665","285480977","122898617","28768005","3215222","30% to less than 40%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","623","Nursing and residential care facilities","00","All establishments","T","Establishments subject to federal income tax","2022","34192","60109","189622101","78360981","18350910","2107894","30% to less than 40%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","623","Nursing and residential care facilities","00","All establishments","Y","Establishments exempt from federal income tax","2022","8863","33556","95858876","44537636","10417095","1107328","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","624","Social assistance","00","All establishments","00","All establishments","2022","150108","198781","S","S","S","S","S","S","S",
"0100000US","United States","624","Social assistance","00","All establishments","T","Establishments subject to federal income tax","2022","98862","112535","S","S","S","S","S","S","S",
"0100000US","United States","624","Social assistance","00","All establishments","Y","Establishments exempt from federal income tax","2022","52131","86246","186287240","66233038","15118656","1790898","20% to less than 30%","10% to less than 20%","10% to less than 20%",
"0100000US","United States","71","Arts, entertainment, and recreation","00","All establishments","00","All establishments","2022","146029","160371","342880245","105612758","22482472","2697103","20% to less than 30%","10% to less than 20%","30% to less than 40%",
"0100000US","United States","71","Arts, entertainment, and recreation","00","All establishments","T","Establishments subject to federal income tax","2022","122335","134451","285658150","86254920","18347889","2097464","20% to less than 30%","10% to less than 20%","30% to less than 40%",
"0100000US","United States","71","Arts, entertainment, and recreation","00","All establishments","Y","Establishments exempt from federal income tax","2022","23772","25920","57222095","19357838","4134583","599639","10% to less than 20%","Less than 10%","10% to less than 20%",
"0100000US","United States","711","Performing arts, spectator sports, and related industries","00","All establishments","00","All establishments","2022","65334","66634","151469332","52062709","10879273","577738","20% to less than 30%","Less than 10%","20% to less than 30%",
"0100000US","United States","711","Performing arts, spectator sports, and related industries","00","All establishments","T","Establishments subject to federal income tax","2022","58123","59324","136420917","47610305","9877193","451937","20% to less than 30%","10% to less than 20%","30% to less than 40%",
"0100000US","United States","711","Performing arts, spectator sports, and related industries","00","All establishments","Y","Establishments exempt from federal income tax","2022","7220","7310","15048415","4452404","1002080","125801","10% to less than 20%","Less than 10%","Less than 10%",
"0100000US","United States","712","Museums, historical sites, and similar institutions","00","All establishments","00","All establishments","2022","7483","7982","21866642","6469281","1431347","156789","10% to less than 20%","Less than 10%","10% to less than 20%",
"0100000US","United States","712","Museums, historical sites, and similar institutions","00","All establishments","T","Establishments subject to federal income tax","2022","1095","1154","2642101","683426","141935","21578","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","712","Museums, historical sites, and similar institutions","00","All establishments","Y","Establishments exempt from federal income tax","2022","6393","6828","19224541","5785855","1289412","135211","10% to less than 20%","Less than 10%","10% to less than 20%",
"0100000US","United States","713","Amusement, gambling, and recreation industries","00","All establishments","00","All establishments","2022","73322","85755","169544271","47080768","10171852","1962576","20% to less than 30%","10% to less than 20%","30% to less than 40%",
"0100000US","United States","713","Amusement, gambling, and recreation industries","00","All establishments","T","Establishments subject to federal income tax","2022","63188","73973","146595132","37961189","8328761","1623949","30% to less than 40%","10% to less than 20%","30% to less than 40%",
"0100000US","United States","713","Amusement, gambling, and recreation industries","00","All establishments","Y","Establishments exempt from federal income tax","2022","10180","11782","22949139","9119579","1843091","338627","10% to less than 20%","Less than 10%","10% to less than 20%",
"0100000US","United States","72","Accommodation and food services","00","All establishments","00","All establishments","2022","574838","770895","1227364148","339888325","77515566","14091274","20% to less than 30%","10% to less than 20%","10% to less than 20%",
"0100000US","United States","721","Accommodation","00","All establishments","00","All establishments","2022","57723","70306","301023093","66084814","14817648","1824371","30% to less than 40%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","722","Food services and drinking places","00","All establishments","00","All establishments","2022","517441","700589","926341055","273803511","62697918","12266903","20% to less than 30%","10% to less than 20%","10% to less than 20%",
"0100000US","United States","81(119)","Other services (except public administration)(119)","00","All establishments","00","All establishments","2022","529685","595822","715750643","174450084","40569975","3997373","20% to less than 30%","10% to less than 20%","10% to less than 20%",
"0100000US","United States","81(119)","Other services (except public administration)(119)","00","All establishments","T","Establishments subject to federal income tax","2022","431247","490728","393843481","116052280","26663163","3032918","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","81(119)","Other services (except public administration)(119)","00","All establishments","Y","Establishments exempt from federal income tax","2022","98485","105094","321907162","58397804","13906812","964455","10% to less than 20%","Less than 10%","10% to less than 20%",
"0100000US","United States","811","Repair and maintenance","00","All establishments","00","All establishments","2022","202850","225446","248309018","68828443","15863757","1453795","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","811","Repair and maintenance","00","All establishments","T","Establishments subject to federal income tax","2022","202850","225446","248309018","68828443","15863757","1453795","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","812","Personal and laundry services","00","All establishments","00","All establishments","2022","228456","265282","145534463","47223837","10799406","1579123","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","812","Personal and laundry services","00","All establishments","T","Establishments subject to federal income tax","2022","228456","265282","145534463","47223837","10799406","1579123","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","813(120)","Religious, grantmaking, civic, professional, and similar organizations(120)","00","All establishments","00","All establishments","2022","98485","105094","321907162","58397804","13906812","964455","10% to less than 20%","Less than 10%","10% to less than 20%",
"0100000US","United States","813(120)","Religious, grantmaking, civic, professional, and similar organizations(120)","00","All establishments","Y","Establishments exempt from federal income tax","2022","98485","105094","321907162","58397804","13906812","964455","10% to less than 20%","Less than 10%","10% to less than 20%",
